epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1619.56,1.01366,1.07911,1.32074,0.82236,0.9375,0.91225,0.57767,1.10542,1.02763,1.53144,0.0014984,0.0014984,0.0014984
78,1640.74,1.00162,1.07754,1.33194,0.81707,0.875,0.84044,0.57746,0.95153,0.97412,1.4412,0.0014918,0.0014918,0.0014918
79,1661.86,1.08105,1.09463,1.38391,0.85549,0.875,0.87751,0.47528,1.02739,1.12914,1.56511,0.0014852,0.0014852,0.0014852
80,1682.96,1.03544,1.09351,1.36281,0.87201,0.8526,0.88494,0.52732,1.06389,1.0666,1.5086,0.0014786,0.0014786,0.0014786
81,1704.1,0.99403,1.08264,1.31338,0.87498,0.87483,0.94493,0.55026,1.06717,1.04991,1.51396,0.001472,0.001472,0.001472
82,1725.23,1.02927,1.07481,1.3343,0.81217,0.81085,0.83754,0.58607,0.98769,1.0425,1.42268,0.0014654,0.0014654,0.0014654
83,1746.34,1.03761,1.10949,1.33731,0.76013,0.875,0.89286,0.61261,0.86834,1.02341,1.32413,0.0014588,0.0014588,0.0014588
84,1767.49,0.96971,1.01201,1.28851,0.77773,0.875,0.87689,0.60966,0.95353,0.95757,1.36949,0.0014522,0.0014522,0.0014522
85,1788.54,0.96823,1.01247,1.31907,0.9082,0.875,0.93241,0.64933,0.87235,0.86674,1.31976,0.0014456,0.0014456,0.0014456
86,1809.76,1.01175,1.04426,1.3239,0.9612,0.9375,0.95962,0.7069,0.86946,0.71913,1.32503,0.001439,0.001439,0.001439
87,1831.03,0.98434,1.00338,1.29391,0.87872,0.9375,0.92475,0.56828,1.06396,0.96522,1.43318,0.0014324,0.0014324,0.0014324
88,1852.16,0.95523,0.98615,1.28962,0.98915,0.75,0.89743,0.55303,0.97277,1.10064,1.45762,0.0014258,0.0014258,0.0014258
89,1873.28,0.99617,1.02709,1.32253,0.8484,0.8125,0.88245,0.61553,0.93997,1.18678,1.27879,0.0014192,0.0014192,0.0014192
90,1894.39,0.95974,1.00935,1.29754,0.98491,0.75,0.92158,0.60585,0.91964,0.93824,1.29674,0.0014126,0.0014126,0.0014126
91,1915.53,1.00799,1.08405,1.32799,1,0.7888,0.90348,0.64846,0.80473,0.85725,1.30133,0.001406,0.001406,0.001406
92,1936.54,1.01372,1.06391,1.3341,0.75778,0.97833,0.90517,0.65719,0.8835,0.81945,1.29746,0.0013994,0.0013994,0.0013994
93,1957.53,0.98337,1.00354,1.30881,0.93664,0.92467,0.95125,0.64046,1.05367,0.66749,1.49705,0.0013928,0.0013928,0.0013928
94,1978.6,0.98267,0.99076,1.3101,0.93616,0.91747,0.95587,0.64628,0.95326,0.77171,1.50706,0.0013862,0.0013862,0.0013862
95,1999.74,0.96287,0.9843,1.30064,0.87215,0.9375,0.91719,0.58251,1.14411,0.96789,1.6587,0.0013796,0.0013796,0.0013796
96,2020.83,0.94961,1.0185,1.31039,0.83126,0.92425,0.92934,0.69508,0.82036,0.75801,1.26536,0.001373,0.001373,0.001373
97,2041.88,0.97967,1.02089,1.30783,1,0.8706,0.93414,0.55144,1.07861,1.10994,1.48343,0.0013664,0.0013664,0.0013664
98,2062.84,0.97968,0.97821,1.28874,0.85769,0.875,0.89083,0.60181,0.98685,0.90273,1.4904,0.0013598,0.0013598,0.0013598
99,2083.95,0.96274,0.97714,1.28361,0.80148,0.8125,0.81906,0.47296,1.14773,1.20838,1.59967,0.0013532,0.0013532,0.0013532
100,2104.94,0.9619,0.95779,1.28379,0.89959,0.9375,0.94545,0.64593,0.99147,0.76512,1.4438,0.0013466,0.0013466,0.0013466
101,2125.85,0.92884,0.9166,1.25401,0.93134,0.875,0.90944,0.65353,0.95754,0.75756,1.45349,0.00134,0.00134,0.00134
102,2146.77,0.9511,0.94665,1.28324,0.92027,0.9375,0.9675,0.67999,1.02425,0.68839,1.6051,0.0013334,0.0013334,0.0013334
103,2167.88,0.92929,0.94042,1.27675,0.93257,0.865,0.93743,0.65068,0.96111,0.73252,1.39145,0.0013268,0.0013268,0.0013268
104,2189,0.94368,0.95431,1.29178,0.92295,0.74877,0.8828,0.61275,1.07535,0.86527,1.51792,0.0013202,0.0013202,0.0013202
105,2210.09,0.93338,0.96066,1.25911,0.69839,0.86862,0.78121,0.53957,1.03344,1.21054,1.53077,0.0013136,0.0013136,0.0013136
106,2231.16,0.92614,0.91966,1.27172,0.87487,0.9375,0.96125,0.62309,1.0356,0.76501,1.47779,0.001307,0.001307,0.001307
107,2252.13,0.92334,0.90924,1.27011,0.96989,0.8125,0.93837,0.66772,0.95466,0.72469,1.48377,0.0013004,0.0013004,0.0013004
108,2273.08,0.92829,0.92445,1.28147,1,0.80836,0.96452,0.70568,0.83257,0.7134,1.30283,0.0012938,0.0012938,0.0012938
109,2294.16,0.95188,0.94451,1.28345,0.86804,0.875,0.94044,0.65257,0.95869,0.6997,1.38727,0.0012872,0.0012872,0.0012872
110,2315.24,0.90652,0.89939,1.25263,0.92305,0.875,0.91632,0.61834,0.98079,0.80966,1.433,0.0012806,0.0012806,0.0012806
111,2336.4,0.9038,0.91024,1.24771,0.85218,0.875,0.89816,0.66552,0.86833,0.84993,1.28984,0.001274,0.001274,0.001274
112,2357.4,0.92759,0.9341,1.27696,0.91973,0.875,0.89265,0.52449,1.05363,0.95682,1.56818,0.0012674,0.0012674,0.0012674
113,2378.28,0.88069,0.91292,1.23615,0.83297,0.93517,0.94026,0.65617,0.87022,0.75909,1.36931,0.0012608,0.0012608,0.0012608
114,2399.4,0.88118,0.89076,1.24248,0.86508,0.875,0.87185,0.5754,1.04023,0.87519,1.51214,0.0012542,0.0012542,0.0012542
115,2420.52,0.89485,0.89188,1.24531,1,0.80711,0.92225,0.65659,0.9323,0.85971,1.45358,0.0012476,0.0012476,0.0012476
116,2441.63,0.90502,0.91912,1.24085,1,0.79884,0.90397,0.62469,1.02483,0.80813,1.47425,0.001241,0.001241,0.001241
117,2462.71,0.9007,0.91365,1.23757,0.99021,0.8125,0.94441,0.6714,0.87737,0.6985,1.34604,0.0012344,0.0012344,0.0012344
118,2483.77,0.91486,0.9205,1.25994,0.87039,0.9375,0.93231,0.69178,0.82001,0.68465,1.35921,0.0012278,0.0012278,0.0012278
119,2504.84,0.88734,0.89079,1.25247,0.98183,0.8125,0.94282,0.62195,0.82838,0.7427,1.37588,0.0012212,0.0012212,0.0012212
120,2525.91,0.85635,0.85757,1.24062,0.83303,0.93558,0.94264,0.75069,0.7675,0.66093,1.30899,0.0012146,0.0012146,0.0012146
121,2547.17,0.89963,0.88452,1.23829,0.9884,0.6875,0.8838,0.62918,0.98665,0.85506,1.43889,0.001208,0.001208,0.001208
122,2568.34,0.85815,0.8507,1.24166,0.92515,0.875,0.93257,0.62926,0.87946,0.82228,1.35889,0.0012014,0.0012014,0.0012014
123,2589.48,0.89911,0.88254,1.25229,0.81739,0.75,0.82327,0.67297,0.82822,0.91857,1.30157,0.0011948,0.0011948,0.0011948
124,2610.56,0.849,0.86737,1.22128,0.91358,0.875,0.94323,0.61073,0.93804,0.88562,1.38606,0.0011882,0.0011882,0.0011882
125,2631.64,0.87028,0.85408,1.21946,0.83291,0.9375,0.91764,0.64609,0.86661,0.80519,1.30321,0.0011816,0.0011816,0.0011816
126,2652.67,0.88315,0.87201,1.22966,0.99333,0.875,0.92651,0.6027,0.98081,1.05988,1.42844,0.001175,0.001175,0.001175
127,2673.84,0.86733,0.84664,1.22969,0.87945,0.91279,0.92571,0.63671,0.86121,0.83013,1.31913,0.0011684,0.0011684,0.0011684
128,2694.93,0.85437,0.82779,1.21116,0.97023,0.875,0.93811,0.66848,0.78897,0.81092,1.32416,0.0011618,0.0011618,0.0011618
129,2716,0.85905,0.8338,1.22079,0.93101,0.84456,0.93148,0.68668,0.87023,0.7222,1.32349,0.0011552,0.0011552,0.0011552
130,2737.05,0.84005,0.80447,1.19828,0.82669,0.9375,0.94745,0.56944,1.14645,0.77984,1.71552,0.0011486,0.0011486,0.0011486
131,2758.12,0.85004,0.83032,1.22432,0.9327,0.9375,0.94071,0.68157,0.82592,0.63055,1.40802,0.001142,0.001142,0.001142
132,2779.19,0.8192,0.79135,1.1867,0.98574,0.8125,0.91967,0.66929,0.91276,0.68678,1.4432,0.0011354,0.0011354,0.0011354
133,2800.29,0.85691,0.83632,1.23213,0.87238,0.85533,0.89595,0.63876,0.8848,0.79921,1.36554,0.0011288,0.0011288,0.0011288
134,2821.35,0.82168,0.81803,1.20873,0.93685,0.92779,0.93965,0.63867,0.94499,0.85425,1.42152,0.0011222,0.0011222,0.0011222
135,2842.43,0.84157,0.83053,1.20844,0.88166,0.93158,0.91638,0.69148,0.76587,0.68676,1.30677,0.0011156,0.0011156,0.0011156
136,2863.52,0.81706,0.8143,1.19228,0.74694,0.92298,0.85326,0.6624,0.90608,0.78777,1.40149,0.001109,0.001109,0.001109
137,2884.67,0.81817,0.81364,1.19578,0.96343,0.9375,0.94912,0.66213,0.97604,0.72328,1.49229,0.0011024,0.0011024,0.0011024
138,2905.78,0.84903,0.80553,1.21112,0.8733,0.9375,0.93589,0.67259,0.8887,0.69416,1.30061,0.0010958,0.0010958,0.0010958
139,2926.91,0.82907,0.80197,1.1933,0.93063,0.83951,0.89569,0.54392,1.12216,0.93887,1.56939,0.0010892,0.0010892,0.0010892
140,2948.02,0.79877,0.77315,1.1783,0.82769,0.9375,0.91202,0.67877,0.86437,0.61905,1.30275,0.0010826,0.0010826,0.0010826
141,2969,0.82079,0.76011,1.186,0.98751,0.875,0.9464,0.68656,0.81327,0.6692,1.28177,0.001076,0.001076,0.001076
